TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
T00001,C2824,0,0.28846153846153855,1,3,3,0.8936734693877552,2023-03-15,1,0.5364950279801924,3,Wednesday,1
T00002,C1409,2,0.03846153846153849,9,1,5,0.19408163265306125,2023-01-22,0,0.2070936833205846,1,Sunday,0
T00003,C5506,2,0.5576923076923077,9,4,1,0.0022448979591836726,2023-04-18,3,0.0,4,Tuesday,2
T00004,C5012,2,0.05769230769230771,4,5,5,0.5808163265306122,2023-08-09,1,0.5885502636982165,8,Wednesday,0
T00005,C4657,0,0.4423076923076924,2,6,1,0.616938775510204,2023-09-23,3,0.12126092032690526,9,Saturday,2
T00006,C3286,1,0.8653846153846155,3,4,2,0.5424489795918367,2023-05-23,0,0.21760135271146183,5,Tuesday,3
T00007,C2679,2,0.23076923076923084,9,2,5,0.1389795918367347,2023-10-22,0,0.15274366922984017,10,Sunday,1
T00008,C9935,0,0.326923076923077,4,1,5,0.9181632653061225,2023-11-12,1,0.9212931277426628,11,Sunday,1
T00009,C2424,0,0.4423076923076924,5,1,5,0.44142857142857145,2023-06-10,1,0.45106485768348165,6,Saturday,2
T00010,C7912,1,1.0,7,5,1,0.223265306122449,2023-02-20,2,0.04360078908168606,2,Monday,3
T00011,C1520,1,0.5576923076923077,2,1,5,0.6826530612244898,2023-06-27,0,0.6889971415918515,6,Tuesday,2
T00012,C1488,0,0.6153846153846154,2,6,5,0.4928571428571429,2023-05-26,1,0.5017915375015097,5,Friday,2
T00013,C2535,1,0.48076923076923084,5,5,2,0.5426530612244898,2023-03-26,3,0.21768187125085553,3,Sunday,2
T00014,C4582,2,0.7692307692307693,2,4,4,0.09571428571428572,2023-03-02,1,0.08716131889367527,3,Thursday,2
T00015,C4811,0,0.13461538461538464,9,6,5,0.017346938775510204,2023-05-28,1,0.03277104553323403,5,Sunday,0
T00016,C9279,2,0.826923076923077,4,0,1,0.5942857142857143,2023-05-21,3,0.11679214139055517,5,Sunday,3
