TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount
T00001,C2824,Female,33,Bengaluru,Fashion,3,4479,2023-03-15,Cash,13437
T00002,C1409,Other,20,Pune,Books,5,1051,2023-01-22,Card,5255
T00003,C5506,Other,47,Pune,Furniture,1,111,2023-04-18,Wallet,111
T00004,C5012,Other,21,Hyderabad,Groceries,5,2946,2023-08-09,Cash,14730
T00005,C4657,Female,41,Chennai,Sports,1,3123,2023-09-23,Wallet,3123
T00006,C3286,Male,63,Delhi,Furniture,2,2758,2023-05-23,Card,5516
T00007,C2679,Other,30,Pune,Electronics,5,781,2023-10-22,Card,3905
T00008,C9935,Female,35,Hyderabad,Books,5,4599,2023-11-12,Cash,22995
T00009,C2424,Female,41,Jaipur,Books,5,2263,2023-06-10,Cash,11315
T00010,C7912,Male,70,Lucknow,Groceries,1,1194,2023-02-20,UPI,1194
T00011,C1520,Male,47,Chennai,Books,5,3445,2023-06-27,Card,17225
T00012,C1488,Female,50,Chennai,Sports,5,2515,2023-05-26,Cash,12575
T00013,C2535,Male,43,Jaipur,Groceries,2,2759,2023-03-26,Wallet,5518
T00014,C4582,Other,58,Chennai,Furniture,4,569,2023-03-02,Cash,2276
T00015,C4811,Female,25,Pune,Sports,5,185,2023-05-28,Cash,925
T00016,C9279,Other,61,Hyderabad,Beauty,1,3012,2023-05-21,Wallet,3012
T00017,C1434,Female,19,Delhi,Furniture,1,1896,2023-09-07,Wallet,1896
T00018,C4257,Other,33,Bengaluru,Fashion,5,2391,2023-08-13,Wallet,11955
T00019,C9928,Male,41,Bengaluru,Electronics,2,1547,2023-04-25,Wallet,3094
T00020,C7873,Male,49,Chennai,Books,1,2197,2023-03-28,Card,2197
T00021,C4611,Other,56,Delhi,Electronics,3,228,2023-05-28,Cash,684
T00022,C8359,Female,46,Ahmedabad,Fashion,2,4502,2023-05-13,UPI,9004
T00023,C5557,Female,29,Lucknow,Groceries,2,4878,2023-11-07,Wallet,9756
T00024,C1106,Other,48,Ahmedabad,Groceries,5,971,2023-02-24,Wallet,4855
T00025,C3615,Other,55,Chennai,Beauty,4,3229,2023-04-29,UPI,12916
T00026,C7924,Male,53,Lucknow,Books,1,2208,2023-12-08,Card,2208
T00027,C6574,Male,40,Ahmedabad,Beauty,5,4612,2023-05-23,UPI,23060
T00028,C5552,Other,40,Hyderabad,Furniture,5,1788,2023-03-14,UPI,8940
T00029,C3547,Other,28,Kolkata,Electronics,3,3722,2023-02-19,Cash,11166
T00030,C4527,Female,34,Mumbai,Beauty,4,1907,2023-04-16,Wallet,7628
T00031,C6514,Female,65,Bengaluru,Beauty,5,2756,2023-10-10,Wallet,13780
T00032,C2674,Other,62,Mumbai,Groceries,1,2301,2023-09-18,Card,2301
T00033,C2519,Female,23,Jaipur,Furniture,4,1770,2023-03-28,Card,7080
T00034,C7224,Male,36,Mumbai,Fashion,1,4864,2023-01-15,Card,4864
T00035,C2584,Female,19,Bengaluru,Furniture,3,3339,2023-11-03,Card,10017
T00036,C6881,Other,42,Delhi,Beauty,4,1375,2023-01-21,Card,5500
